Size	1	2	3	4
1000	74325.95	42442.29	43594.88	40599.145
2000	74090.73	57333.246	56954.715	59080.12
3000	91303.78	68255.46	67926.195	65841.35
4000	110466.93	73100.72	71961.05	70913.29
5000	142335.56	91624.52	89723.62	89749.25
6000	166985.42	103378.46	104272.3	103543.22
7000	223193.92	133654.2	132730.5	131858.06
8000	217354.36	131746.88	130408.32	128575.92
9000	243870.8	143122.48	141961.45	142217.98
10000	290942.6	165627.64	164545.6	164695.23
11000	328111.9	183879.8	182883.38	180984.56
12000	357072.47	193519.1	192033.08	192392.23
13000	387664.72	204345.08	200263.12	199895.4
14000	435035.75	222109.73	219841.12	218739.92
15000	478673.4	240808.9	235313.64	236205.2
16000	529433.4	260485.14	257587.8	259285.64
17000	549665.8	265792.38	264184.38	261118.16
18000	587053.4	277086.53	276543.38	275305.53
19000	665504.1	307593.2	309318.8	307866.94
20000	716848.0	329683.72	324378.66	325054.25
21000	756305.44	342177.44	336310.03	336979.44
22000	775077.2	340015.7	337640.12	338157.4
23000	875928.5	378624.1	374086.62	376355.38
24000	904138.56	380548.62	377180.9	374157.4
25000	940097.25	389193.62	387792.97	384125.9
26000	979362.5	398071.47	393083.16	395666.12
27000	1043407.4	415340.12	411185.62	408316.16
28000	1143373.5	445094.12	439209.72	437437.1
29000	1211209.6	465642.9	459435.47	453720.1
30000	1232190.0	458815.28	460868.16	457530.3
31000	1347248.5	496927.7	490322.84	489394.7
32000	1367933.9	495584.72	493151.56	485291.4
33000	1507973.0	535944.6	525841.5	523241.1
34000	1540448.6	534409.44	531909.75	532134.3
35000	1666225.6	564020.1	567962.94	563831.94
36000	1702637.9	573195.2	568469.7	566038.5
37000	1731638.4	572789.0	566160.4	567424.1
38000	1878687.5	611733.1	601264.4	603347.1
39000	1902770.9	600738.4	590147.5	594103.2
40000	1981756.0	623209.25	621278.2	613862.94
41000	2039535.5	631411.3	623187.75	624855.6
42000	2231848.5	679436.94	676227.4	675040.5
43000	2383434.5	714314.06	709729.75	707294.3
44000	2433848.8	720418.75	724209.94	717205.2
45000	2503243.2	726431.7	714714.25	723290.4
46000	2579327.0	737353.75	729929.8	727421.6
47000	2600501.2	730203.5	718186.56	720078.75
48000	2683795.2	753630.5	743734.5	746526.94
49000	3132507.5	862747.75	855221.5	857371.94
50000	2959487.8	807758.2	803357.6	795379.75
